iter	RMSE
0	14.58139453
1	13.22095698
2	11.9335806
3	10.80206173
4	9.757418972
5	8.835218827
6	7.988772936
7	7.230949111
8	6.535225593
9	5.90484011
10	5.362137374
11	4.862308557
12	4.397597352
13	3.975789681
14	3.586656421
15	3.255015067
16	2.948214444
17	2.67270297
18	2.425187796
19	2.203949803
20	1.997903937
21	1.812496814
22	1.652666125
23	1.510802661
24	1.376785345
25	1.260621087
26	1.155001886
27	1.063350194
28	0.9789588246
29	0.9016452839
30	0.8365807127
31	0.7802141636
32	0.7279550724
33	0.6809698833
34	0.6418169507
35	0.6049427873
36	0.5732688269
37	0.5453538156
38	0.5208778461
39	0.49908215
40	0.4792871657
41	0.463499362
42	0.4495251757
43	0.4359298309
44	0.4252027337
45	0.4155719821
46	0.4061800749
47	0.3979957379
48	0.3906605416
49	0.3828340964
50	0.3760579543
51	0.3696342089
52	0.3643466528
53	0.3592559197
54	0.3554227414
55	0.3514920362
56	0.3477890785
57	0.3438118939
58	0.339915529
59	0.3374546999
60	0.3334972487
61	0.3303824736
62	0.3275740207
63	0.3252701221
64	0.3229620894
65	0.3206919612
66	0.3179449495
67	0.3148181254
68	0.313045071
69	0.3112316429
70	0.3083000084
71	0.3062947351
72	0.3037071957
73	0.3014656045
74	0.2989716892
75	0.2972117659
76	0.2957242784
77	0.294473451
78	0.2928202786
79	0.291434694
80	0.2893901817
81	0.2883251655
82	0.2870505358
83	0.2861412951
84	0.2839221261
85	0.282827195
86	0.2810711826
87	0.2802718016
88	0.2788503418
89	0.2778822307
90	0.2768381978
91	0.275350199
92	0.2731320289
93	0.2715895343
94	0.2696942925
95	0.266794841
96	0.2659956442
97	0.265309298
98	0.2640276192
99	0.2628342323
100	0.2614204235
101	0.2603153841
102	0.2593708149
103	0.2576894723
104	0.2565943688
105	0.2546714337
106	0.2541054732
107	0.2533799091
108	0.2521942929
109	0.2509883986
110	0.2495009673
111	0.2481589693
112	0.2469142016
113	0.2458975578
114	0.2444768055
115	0.2433330359
116	0.2429563275
117	0.2416799859
118	0.2398948578
119	0.2393212609
120	0.2381921442
121	0.2370177807
122	0.2360861056
123	0.2350409902
124	0.23343603
125	0.2317797945
126	0.2305052261
127	0.2289794513
128	0.2280144782
129	0.2266342308
130	0.2255618561
131	0.2245641421
132	0.2237499965
133	0.2228254063
134	0.2221387201
135	0.2211032277
136	0.2203342346
137	0.2195320917
138	0.218651984
139	0.2176764281
140	0.2167086965
141	0.2158201249
142	0.215188036
143	0.2145140626
144	0.2138960689
145	0.2130889363
146	0.2128868322
147	0.2121109645
148	0.2116972292
149	0.2106680049
150	0.2099419293
151	0.2094334887
152	0.2086178381
153	0.2084653585
154	0.2074539275
155	0.2066168371
156	0.2055129746
157	0.2049846823
158	0.2042033999
159	0.2034496109
160	0.2026934538
161	0.2021030935
162	0.2013615549
163	0.2009636011
164	0.200322115
165	0.1995665399
166	0.1989202712
167	0.19852813
168	0.1979612084
169	0.1972925749
170	0.1961831884
171	0.1957892521
172	0.1951132086
173	0.1949240887
174	0.19402454
175	0.1936279464
176	0.1929811384
177	0.1923596261
178	0.1915994258
179	0.1909666424
180	0.1908334469
181	0.1903291752
182	0.1897253438
183	0.1893189291
184	0.1883939747
185	0.1878617833
186	0.1872417767
187	0.1865479424
188	0.1859733558
189	0.1857457832
190	0.1853597573
191	0.1849606451
192	0.1840783613
193	0.1835593222
194	0.1831416329
195	0.1826259902
196	0.1820440432
197	0.1819286665
198	0.1811560049
199	0.1805622708
200	0.1801404465
201	0.1799994416
202	0.1796747829
203	0.1790234442
204	0.1784027937
205	0.1783196857
206	0.1777983085
207	0.1775959173
208	0.1771384979
209	0.1766056854
210	0.1760109854
211	0.1758119532
212	0.1753526144
213	0.17493828
214	0.1747615139
215	0.1744016584
216	0.1739722797
217	0.1734643899
218	0.1727161655
219	0.1724203564
220	0.1717359872
221	0.1716425529
222	0.1712457899
223	0.171034024
224	0.1706144133
225	0.1704070854
226	0.1699108686
227	0.1696417851
228	0.1690950699
229	0.1687268954
230	0.1680542268
231	0.1678848106
232	0.1673837083
233	0.1667126202
234	0.166118059
235	0.1658193402
236	0.1657081854
237	0.1652477618
238	0.1649319476
239	0.1648750274
240	0.1646411933
241	0.1641518121
242	0.1638238035
243	0.1634310217
244	0.1631923575
245	0.1629443352
246	0.1628150398
247	0.1624659358
248	0.1623528455
249	0.1619984077
250	0.1617647283
251	0.1615877296
252	0.1614042157
253	0.1611609964
254	0.1607510678
