iter	Passed	Remaining
0	5	3996
1	20	7070
2	23	5538
3	30	5269
4	35	4954
5	43	5001
6	50	5027
7	57	4942
8	60	4679
9	65	4502
10	68	4315
11	73	4202
12	77	4087
13	80	3947
14	81	3729
15	85	3634
16	87	3532
17	92	3498
18	98	3512
19	106	3612
20	112	3629
21	114	3537
22	121	3566
23	128	3623
24	132	3588
25	136	3545
26	141	3527
27	147	3542
28	151	3500
29	154	3458
30	158	3417
31	160	3360
32	165	3335
33	168	3310
34	172	3280
35	176	3257
36	180	3230
37	184	3221
38	189	3213
39	192	3178
40	200	3215
41	203	3192
42	209	3195
43	213	3185
44	217	3170
45	222	3159
46	226	3144
47	231	3144
48	235	3135
49	242	3156
50	247	3148
51	251	3128
52	254	3112
53	259	3099
54	262	3082
55	267	3071
56	270	3053
57	275	3049
58	280	3047
59	283	3026
60	287	3007
61	290	2984
62	292	2959
63	296	2943
64	300	2933
65	303	2918
66	309	2922
67	315	2935
68	323	2957
69	329	2963
70	332	2948
71	335	2926
72	340	2923
73	342	2894
74	344	2873
75	348	2862
76	352	2852
77	356	2841
78	361	2842
79	365	2833
80	370	2834
81	375	2827
82	378	2814
83	382	2802
84	385	2788
85	389	2777
86	392	2762
87	395	2751
88	399	2739
89	402	2728
90	406	2720
91	410	2710
92	413	2697
93	416	2685
94	420	2677
95	429	2700
96	437	2722
97	445	2737
98	449	2727
99	453	2723
100	458	2720
101	463	2714
102	464	2690
103	469	2692
104	474	2688
105	478	2681
106	481	2669
107	486	2666
108	489	2656
109	494	2653
110	499	2651
111	504	2647
112	507	2635
113	510	2625
114	514	2617
115	519	2614
116	522	2606
117	526	2598
118	530	2588
119	533	2580
120	538	2577
121	542	2567
122	545	2557
123	549	2551
124	554	2549
125	559	2547
126	562	2536
127	566	2531
128	570	2526
129	574	2517
130	577	2509
131	581	2501
132	584	2492
133	587	2481
134	590	2471
135	594	2464
136	598	2458
137	602	2451
138	605	2441
139	608	2435
140	612	2428
141	616	2423
142	620	2417
143	624	2409
144	627	2403
145	631	2396
146	635	2392
147	641	2393
148	647	2393
149	649	2381
150	653	2376
151	657	2368
152	660	2360
153	663	2353
154	667	2347
155	671	2342
156	676	2338
157	680	2335
158	683	2327
159	687	2319
160	690	2310
161	693	2303
162	699	2302
163	703	2298
164	706	2291
165	710	2284
166	713	2278
167	716	2269
168	722	2269
169	726	2264
170	729	2256
171	734	2255
172	738	2249
173	741	2242
174	746	2238
175	749	2231
176	753	2227
177	757	2220
178	760	2213
179	764	2209
180	767	2201
181	770	2193
182	773	2185
183	776	2178
184	779	2170
185	782	2162
186	785	2155
187	788	2147
188	791	2140
189	795	2135
190	799	2130
191	804	2127
192	807	2120
193	811	2116
194	815	2112
195	819	2108
196	825	2106
197	828	2100
198	832	2095
199	835	2088
200	839	2084
201	843	2078
202	846	2071
203	849	2065
204	852	2058
205	855	2051
206	859	2047
207	864	2045
208	870	2044
209	878	2049
210	885	2052
211	891	2051
212	895	2048
213	900	2044
214	903	2038
215	906	2031
216	910	2026
217	918	2030
218	923	2027
219	931	2032
220	938	2033
221	943	2031
222	947	2027
223	952	2023
224	955	2016
225	958	2010
226	962	2006
227	966	2001
228	970	1995
229	973	1988
230	975	1981
231	979	1975
232	984	1972
233	987	1966
234	993	1965
235	996	1959
236	1000	1954
237	1003	1947
238	1008	1945
239	1011	1939
240	1015	1934
241	1019	1928
242	1022	1922
243	1025	1916
244	1028	1910
245	1032	1905
246	1036	1900
247	1038	1893
248	1042	1889
249	1046	1883
250	1050	1879
251	1054	1873
252	1058	1870
253	1065	1871
254	1068	1865
255	1073	1861
256	1078	1858
257	1082	1853
258	1085	1847
259	1089	1843
260	1093	1838
261	1098	1835
262	1101	1829
263	1105	1825
264	1108	1819
265	1113	1816
266	1117	1811
267	1120	1806
268	1125	1803
269	1129	1799
270	1133	1793
271	1136	1788
272	1140	1784
273	1144	1779
274	1147	1774
275	1151	1768
276	1154	1762
277	1158	1758
278	1161	1752
279	1164	1747
280	1168	1741
281	1171	1736
282	1175	1731
283	1179	1727
284	1182	1722
285	1186	1717
286	1191	1714
287	1195	1709
288	1198	1704
289	1202	1699
290	1205	1693
291	1207	1687
292	1211	1683
293	1215	1678
294	1218	1672
295	1222	1669
296	1226	1664
297	1230	1659
298	1233	1654
299	1236	1648
300	1239	1642
301	1242	1637
302	1246	1632
303	1249	1628
304	1255	1625
305	1259	1621
306	1263	1617
307	1266	1612
308	1269	1606
309	1273	1602
310	1278	1598
311	1282	1595
312	1289	1594
313	1296	1594
314	1304	1594
315	1311	1593
316	1315	1588
317	1319	1585
318	1324	1582
319	1328	1578
320	1332	1573
321	1336	1568
322	1340	1564
323	1343	1559
324	1346	1554
325	1350	1549
326	1355	1546
327	1358	1540
328	1362	1536
329	1366	1531
330	1372	1530
331	1376	1525
332	1378	1519
333	1382	1515
334	1385	1509
335	1389	1504
336	1392	1500
337	1395	1494
338	1398	1489
339	1402	1485
340	1407	1481
341	1411	1477
342	1418	1476
343	1423	1473
344	1426	1467
345	1429	1462
346	1434	1458
347	1437	1454
348	1441	1449
349	1444	1444
350	1448	1439
351	1452	1435
352	1456	1431
353	1459	1426
354	1464	1423
355	1467	1418
356	1470	1413
357	1474	1408
358	1478	1403
359	1481	1399
360	1486	1396
361	1490	1391
362	1493	1386
363	1497	1381
364	1501	1377
365	1505	1373
366	1508	1368
367	1511	1363
368	1514	1358
369	1519	1354
370	1522	1350
371	1525	1345
372	1529	1340
373	1532	1335
374	1536	1331
375	1540	1327
376	1543	1322
377	1547	1317
378	1550	1313
379	1556	1310
380	1559	1305
381	1563	1301
382	1567	1297
383	1570	1292
384	1574	1287
385	1576	1282
386	1581	1279
387	1585	1274
388	1588	1270
389	1592	1265
390	1595	1260
391	1598	1256
392	1604	1253
393	1607	1248
394	1611	1244
395	1617	1241
396	1621	1237
397	1624	1232
398	1628	1228
399	1630	1223
400	1634	1218
401	1638	1214
402	1641	1209
403	1647	1207
404	1650	1202
405	1654	1198
406	1657	1193
407	1660	1188
408	1665	1184
409	1668	1180
410	1672	1176
411	1675	1171
412	1679	1166
413	1683	1162
414	1686	1158
415	1689	1153
416	1693	1149
417	1699	1146
418	1703	1142
419	1707	1138
420	1710	1133
421	1714	1129
422	1718	1125
423	1721	1120
424	1724	1116
425	1728	1111
426	1732	1107
427	1737	1104
428	1741	1099
429	1746	1096
430	1749	1092
431	1752	1087
432	1755	1082
433	1759	1078
434	1763	1074
435	1767	1070
436	1770	1065
437	1773	1061
438	1778	1057
439	1782	1053
440	1785	1048
441	1787	1043
442	1791	1039
443	1795	1035
444	1800	1031
445	1804	1027
446	1808	1023
447	1813	1019
