iter	Passed	Remaining
0	2	3193
1	6	3617
2	10	4023
3	13	3820
4	17	3855
5	20	3933
6	24	3973
7	27	3917
8	30	3861
9	33	3809
10	37	3796
11	39	3716
12	42	3696
13	45	3673
14	50	3733
15	53	3715
16	56	3693
17	57	3579
18	60	3534
19	62	3490
20	66	3510
21	68	3465
22	71	3451
23	74	3425
24	75	3373
25	78	3347
26	82	3372
27	85	3372
28	88	3364
29	90	3350
30	93	3335
31	95	3301
32	99	3317
33	101	3296
34	104	3285
35	106	3257
36	109	3249
37	111	3204
38	112	3171
39	115	3174
40	118	3161
41	120	3146
42	123	3138
43	126	3125
44	128	3117
45	131	3111
46	132	3075
47	135	3060
48	138	3066
49	140	3050
50	143	3057
51	146	3048
52	148	3028
53	151	3038
54	154	3031
55	157	3026
56	159	3009
57	161	2997
58	164	2998
59	167	2994
60	168	2963
61	170	2947
62	172	2931
63	175	2931
64	177	2922
65	178	2895
66	181	2890
67	184	2894
68	187	2893
69	189	2886
70	192	2882
71	194	2877
72	198	2886
73	202	2900
74	204	2889
75	208	2903
76	211	2900
77	214	2908
78	217	2903
79	219	2894
80	222	2893
81	225	2894
82	227	2882
83	231	2890
84	233	2884
85	235	2873
86	238	2873
87	240	2863
88	242	2855
89	245	2855
90	248	2853
91	251	2851
92	254	2846
93	256	2839
94	258	2829
95	260	2822
96	263	2819
97	266	2824
98	270	2827
99	272	2822
100	275	2816
101	277	2813
102	281	2818
103	284	2817
104	287	2815
105	289	2811
106	291	2802
107	295	2805
108	297	2795
109	298	2778
110	300	2768
111	301	2750
112	304	2749
113	306	2748
114	310	2752
115	311	2735
116	313	2729
117	316	2724
118	318	2722
119	321	2719
120	324	2715
121	324	2697
122	327	2696
123	331	2699
124	333	2693
125	335	2687
126	337	2682
127	340	2681
128	343	2678
129	346	2675
130	348	2674
131	352	2677
132	355	2674
133	357	2669
134	360	2672
135	363	2669
136	366	2667
137	368	2664
138	371	2660
139	374	2659
140	376	2657
141	379	2654
142	382	2652
143	385	2650
144	387	2645
145	390	2643
146	392	2640
147	395	2635
148	398	2634
149	400	2630
150	403	2627
151	405	2625
152	408	2621
153	411	2623
154	414	2619
155	416	2615
156	419	2616
157	422	2614
158	425	2611
159	428	2613
160	430	2606
161	433	2604
162	435	2599
163	438	2596
164	441	2595
165	444	2593
166	446	2589
167	450	2592
168	453	2589
169	456	2589
170	458	2583
171	460	2580
172	463	2579
173	466	2576
174	469	2576
175	472	2571
176	475	2574
177	479	2578
178	482	2574
179	486	2579
180	489	2577
181	492	2579
182	496	2583
183	499	2579
184	502	2578
185	504	2572
186	507	2573
187	511	2575
188	514	2574
189	517	2573
190	519	2567
191	522	2565
192	525	2562
193	528	2561
194	530	2558
195	533	2557
196	536	2554
197	540	2555
198	542	2553
199	545	2549
200	547	2545
201	550	2542
202	553	2540
203	555	2534
204	558	2532
205	561	2530
206	563	2527
207	567	2528
208	569	2524
209	572	2521
210	575	2521
211	578	2519
212	582	2519
213	584	2517
214	587	2514
215	590	2511
216	592	2507
217	595	2506
218	598	2504
219	601	2501
220	604	2500
221	606	2496
222	609	2491
223	611	2487
224	613	2482
225	617	2481
226	619	2478
227	623	2479
228	626	2479
229	629	2476
230	631	2473
231	634	2470
232	638	2471
233	641	2469
234	644	2467
235	646	2463
236	649	2461
237	652	2458
238	654	2454
239	657	2451
240	659	2448
241	662	2443
242	664	2439
243	666	2435
244	669	2432
245	672	2431
246	675	2428
247	678	2425
248	680	2422
249	683	2419
250	685	2414
251	687	2410
252	690	2405
253	692	2402
254	695	2398
255	697	2395
256	700	2391
257	702	2389
258	705	2386
259	709	2387
260	712	2384
261	715	2384
262	718	2382
263	721	2379
264	724	2377
265	726	2374
266	729	2372
267	732	2370
268	735	2366
269	737	2363
270	739	2358
271	742	2355
272	745	2353
273	748	2351
274	750	2348
275	753	2346
276	756	2342
277	760	2343
278	763	2342
279	766	2339
280	768	2335
281	771	2333
282	773	2329
283	777	2329
284	781	2330
285	784	2329
286	787	2326
287	790	2323
288	793	2321
289	795	2316
290	797	2313
291	799	2309
292	802	2306
293	805	2304
294	807	2300
295	809	2295
296	813	2294
297	815	2291
298	818	2288
299	821	2285
300	823	2281
301	826	2279
302	828	2275
303	832	2274
304	834	2271
305	837	2269
306	840	2267
307	843	2263
308	845	2260
309	848	2257
310	850	2253
311	852	2249
312	855	2246
313	858	2243
314	860	2238
315	862	2235
316	865	2232
317	868	2231
318	870	2227
319	873	2223
320	875	2220
321	878	2219
322	881	2214
323	883	2212
324	886	2209
325	889	2207
326	892	2205
327	895	2204
328	898	2200
329	901	2198
330	904	2196
331	906	2192
332	908	2189
333	911	2185
334	914	2183
335	916	2179
336	919	2176
337	921	2172
338	924	2170
339	926	2166
340	929	2164
341	932	2161
342	934	2157
343	937	2154
344	939	2152
345	942	2149
346	945	2147
347	948	2145
348	951	2142
349	954	2139
350	956	2136
351	960	2135
352	962	2132
353	966	2131
354	968	2127
355	970	2124
356	973	2121
357	975	2118
358	978	2115
359	980	2110
360	982	2107
361	985	2104
362	988	2101
363	990	2098
364	993	2095
365	996	2093
366	998	2089
367	1001	2087
368	1004	2084
369	1006	2082
370	1009	2079
371	1012	2076
372	1014	2072
373	1016	2068
374	1019	2065
375	1021	2061
376	1025	2061
377	1028	2059
378	1031	2057
379	1034	2054
380	1037	2052
381	1040	2051
382	1042	2047
383	1045	2044
384	1047	2041
385	1050	2038
386	1053	2035
387	1055	2032
388	1059	2031
389	1062	2029
390	1064	2025
391	1067	2022
392	1070	2020
393	1073	2019
394	1077	2018
395	1080	2015
396	1082	2012
397	1086	2011
398	1089	2009
399	1092	2007
400	1094	2004
401	1097	2000
402	1099	1997
403	1103	1997
404	1106	1994
405	1109	1992
406	1112	1989
407	1114	1986
408	1117	1983
409	1120	1980
410	1123	1979
411	1126	1976
412	1128	1973
413	1131	1970
414	1133	1967
415	1136	1964
416	1139	1962
417	1142	1960
418	1145	1957
419	1147	1953
420	1149	1950
421	1152	1947
422	1156	1945
423	1158	1943
424	1161	1939
425	1164	1937
426	1166	1934
427	1170	1932
428	1172	1930
429	1175	1927
430	1178	1924
431	1180	1921
432	1182	1917
433	1185	1914
434	1188	1913
435	1191	1910
436	1194	1908
437	1196	1904
438	1199	1901
439	1202	1898
440	1204	1896
441	1207	1893
442	1210	1890
443	1213	1888
444	1216	1885
445	1219	1884
446	1222	1881
447	1225	1879
448	1228	1877
449	1230	1873
450	1233	1871
451	1236	1868
452	1239	1865
453	1241	1861
454	1243	1858
455	1247	1857
456	1249	1854
457	1251	1850
458	1255	1848
459	1258	1846
460	1261	1844
461	1264	1841
462	1266	1838
463	1269	1836
464	1272	1833
465	1275	1830
466	1279	1829
467	1281	1827
468	1284	1823
469	1286	1820
470	1290	1818
471	1293	1816
472	1295	1813
473	1298	1810
474	1301	1808
475	1303	1805
476	1307	1803
477	1310	1801
478	1313	1798
479	1316	1796
480	1319	1794
481	1322	1792
482	1325	1789
483	1328	1786
484	1331	1784
485	1334	1781
486	1336	1778
487	1340	1776
488	1343	1775
489	1346	1772
490	1348	1769
491	1352	1767
492	1355	1765
493	1358	1762
494	1361	1760
495	1363	1757
496	1367	1755
497	1369	1752
498	1372	1748
499	1375	1746
500	1377	1742
501	1379	1739
502	1382	1736
503	1385	1734
504	1388	1732
505	1391	1729
506	1393	1725
507	1396	1723
508	1398	1719
509	1401	1717
510	1403	1713
511	1405	1710
512	1408	1707
513	1411	1705
514	1414	1702
515	1417	1700
516	1420	1697
517	1423	1695
518	1425	1692
519	1428	1689
520	1430	1686
521	1434	1684
522	1437	1682
523	1440	1679
524	1443	1676
525	1445	1673
526	1447	1670
527	1450	1667
528	1452	1664
529	1456	1662
530	1458	1658
531	1461	1656
532	1464	1654
533	1467	1651
534	1470	1649
535	1474	1647
536	1476	1644
537	1479	1641
538	1482	1639
539	1485	1637
540	1488	1634
541	1491	1631
542	1494	1628
543	1496	1625
544	1498	1622
545	1501	1619
546	1504	1617
547	1507	1614
548	1509	1610
549	1511	1608
550	1514	1605
551	1516	1602
552	1519	1599
553	1522	1596
554	1524	1593
555	1528	1591
556	1531	1588
557	1533	1585
558	1536	1582
559	1538	1580
560	1541	1577
561	1544	1574
562	1546	1571
563	1550	1569
564	1552	1566
565	1555	1563
566	1557	1560
567	1560	1557
568	1562	1554
569	1565	1551
570	1567	1548
571	1570	1546
572	1573	1543
573	1576	1540
574	1578	1537
575	1583	1536
576	1586	1534
577	1589	1532
578	1592	1529
579	1595	1526
580	1598	1524
581	1601	1521
582	1604	1519
583	1607	1516
584	1609	1513
585	1613	1511
586	1616	1508
587	1618	1505
588	1621	1502
589	1625	1501
590	1627	1498
591	1630	1495
592	1633	1493
593	1635	1489
594	1639	1487
595	1641	1484
596	1644	1481
597	1647	1479
598	1650	1477
599	1653	1474
600	1656	1471
601	1659	1469
602	1662	1466
603	1664	1463
604	1667	1460
605	1670	1457
606	1673	1455
607	1675	1452
608	1677	1448
609	1680	1446
610	1683	1443
611	1686	1440
612	1688	1437
613	1691	1435
614	1693	1431
615	1695	1428
616	1697	1425
617	1700	1422
618	1702	1419
619	1705	1416
620	1707	1413
621	1710	1410
622	1713	1407
623	1715	1405
624	1718	1402
625	1721	1399
626	1723	1396
627	1726	1393
628	1728	1390
629	1731	1387
630	1733	1384
631	1737	1382
632	1739	1379
633	1742	1376
634	1745	1374
635	1748	1371
636	1751	1369
637	1753	1366
638	1755	1362
639	1758	1359
640	1761	1357
641	1763	1353
642	1765	1351
643	1768	1348
644	1770	1345
645	1773	1342
646	1775	1339
647	1778	1336
648	1782	1334
649	1785	1331
650	1787	1328
651	1790	1326
652	1792	1323
653	1795	1320
654	1798	1318
655	1801	1315
